tanggal,kurs_jisdor,pct_change,target
2022-02-10,14344,-0.1531393568147021,NAIK
2022-02-11,14359,0.1045733407696536,TURUN
2022-02-14,14338,-0.1462497388397543,TURUN
2022-02-15,14292,-0.3208257776537881,STABIL
2022-02-16,14278,-0.0979568989644574,NAIK
2022-02-17,14301,0.1610869869729692,NAIK
2022-02-18,14339,0.2657156842178931,STABIL
2022-02-21,14329,-0.0697398702838358,NAIK
2022-02-22,14362,0.2303021843813146,STABIL
2022-02-23,14355,-0.0487397298426395,NAIK
2022-02-24,14371,0.1114594218042386,STABIL
2022-02-25,14369,-0.0139169160114138,TURUN
2022-03-01,14350,-0.1322291043218015,NAIK
2022-03-02,14373,0.1602787456445931,STABIL
2022-03-04,14383,0.0695748973770227,NAIK
2022-03-07,14411,0.1946742682333413,TURUN
2022-03-08,14394,-0.1179654430643273,TURUN
2022-03-09,14371,-0.15978880088926,TURUN
2022-03-10,14298,-0.5079674344165341,STABIL
2022-03-11,14306,0.0559518813820103,NAIK
2022-03-14,14328,0.1537816300852812,STABIL
2022-03-15,14321,-0.048855388051372,STABIL
2022-03-16,14311,-0.0698275260107572,TURUN
2022-03-17,14290,-0.1467402697225894,NAIK
2022-03-18,14340,0.3498950314905436,STABIL
2022-03-21,14341,0.0069735006973603,NAIK
2022-03-22,14358,0.1185412453803769,STABIL
2022-03-23,14351,-0.0487533082602076,STABIL
2022-03-24,14361,0.0696815552923224,TURUN
2022-03-25,14341,-0.1392660678225743,NAIK
2022-03-28,14360,0.1324872742486604,STABIL
2022-03-29,14364,0.0278551532033377,TURUN
2022-03-30,14349,-0.1044277360066847,STABIL
2022-03-31,14357,0.0557530141473305,STABIL
2022-04-01,14364,0.0487567040468039,STABIL
2022-04-04,14362,-0.0139236981342216,STABIL
2022-04-05,14348,-0.097479459685279,NAIK
2022-04-06,14364,0.1115137998327187,STABIL
2022-04-07,14359,-0.0348092453355652,STABIL
2022-04-08,14365,0.0417856396685012,STABIL
2022-04-11,14370,0.0348068221371455,STABIL
2022-04-12,14364,-0.041753653444676,STABIL
2022-04-13,14359,-0.0348092453355652,STABIL
2022-04-14,14349,-0.0696427327808391,STABIL
2022-04-18,14356,0.0487838873789003,STABIL
2022-04-19,14347,-0.0626915575369202,STABIL
2022-04-20,14351,0.027880393113544,STABIL
2022-04-21,14348,-0.02090446658769,STABIL
2022-04-22,14361,0.0906049623640825,NAIK
2022-04-25,14452,0.6336606085927121,TURUN
2022-04-26,14412,-0.2767783005812374,STABIL
2022-04-27,14418,0.0416319733555381,NAIK
2022-04-28,14480,0.4300180330142789,NAIK
2022-05-09,14534,0.3729281767955728,STABIL
2022-05-10,14546,0.0825650199532068,STABIL
2022-05-11,14546,0.0,NAIK
2022-05-12,14585,0.2681149456895459,NAIK
2022-05-13,14619,0.2331162152896748,NAIK
2022-05-17,14651,0.2188932211505623,NAIK
2022-05-18,14682,0.2115896525834326,NAIK
2022-05-19,14731,0.3337419970031341,TURUN
2022-05-20,14661,-0.4751883782499466,STABIL
2022-05-23,14665,0.0272832685355606,STABIL
2022-05-24,14653,-0.0818274803955021,STABIL
2022-05-25,14645,-0.0545963283969164,TURUN
2022-05-27,14578,-0.4574940252645931,TURUN
2022-05-30,14544,-0.2332281520098789,NAIK
2022-05-31,14592,0.3300330033003229,TURUN
2022-06-02,14526,-0.4523026315789491,TURUN
2022-06-03,14431,-0.6539997246316931,NAIK
2022-06-06,14462,0.2148153281130937,STABIL
2022-06-07,14464,0.0138293458719296,STABIL
2022-06-08,14477,0.089878318584069,NAIK
2022-06-09,14555,0.5387856600124419,STABIL
2022-06-10,14569,0.0961868773617258,NAIK
2022-06-13,14672,0.706980575193894,NAIK
2022-06-14,14729,0.3884950926935637,NAIK
2022-06-15,14746,0.1154185620205083,STABIL
2022-06-16,14741,-0.0339075003390698,NAIK
2022-06-17,14828,0.5901906247880007,STABIL
2022-06-20,14836,0.0539519827353673,TURUN
2022-06-21,14804,-0.2156915610676768,NAIK
