title,kategori,p_geopolitik,p_kurs,text_final
Di Balik Pelemahan Nilai Tukar Rupiah,1,0.2,0.7391,"di balik pelemahan nilai tukar rupiah

catatan: artikel ini merupakan opini pribadi penulis dan tidak mencerminkan pandangan redaksi url

rupiah sepanjang tahun 2026 per 31 juli telah melemah sekitar 8% terhadap dolar as (usd). kenaikan suku bunga kebijakan bi rate 100bps ke 5,75% di mei-juni 2026 ternyata hanya mampu menstabilkan kurs rupiah di sekitar rp18.000-an per usd.

meski sudah tembus rp18.000 per usd - terendah sejak krisis 1998 -rupiah belum dalam kondisi krisis. krisis mata uang dita"
"NIlai Tukar Rupiah Tertekan Pagi Ini, Dolar AS Naik ke Rp17.875",1,0.2333,0.5652,"nilai tukar rupiah tertekan pagi ini, dolar as naik ke rp17.875

video: harga minyak melonjak hingga ihsg & rupiah kompak melemah

jakarta, cnbc indonesia - nilai tukar rupiah belum mampu keluar dari tekanan pada perdagangan pagi ini, kamis (13/8/2026). mata uang garuda kembali melemah terhadap dolar amerika serikat (as), meski inflasi as melandai dan indeks dolar terkoreksi pada awal perdagangan sesi asia.

merujuk data refinitiv, pada pembukaan perdagangan, rupiah mengalami tekanan 0,06% atau "
